GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
468245203,20140919,201409,2014,2014.7096,uigEDU,UIGHUR,,,uig,,,EDU,,,CHN,BEIJING,CHN,,,,,,,,0,020,020,02,1,3.0,10,2,10,-8.6590131900342,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20150919,http://www.nwasianweekly.com/2015/09/who-are-uighurs-a-look-at-group-from-restive-china-region/
468245204,20140919,201409,2014,2014.7096,uigEDU,UIGHUR,,,uig,,,EDU,,,CHN,XINJIANG,CHN,,,,,,,,0,173,173,17,4,-5.0,10,2,10,-8.6590131900342,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150919,http://www.nwasianweekly.com/2015/09/who-are-uighurs-a-look-at-group-from-restive-china-region/
468245205,20140919,201409,2014,2014.7096,uigEDU,UIGHUR,,,uig,,,EDU,,,COP,PRISON,,,,,,COP,,,0,173,173,17,4,-5.0,4,2,4,-8.6590131900342,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20150919,http://www.nwasianweekly.com/2015/09/who-are-uighurs-a-look-at-group-from-restive-china-region/
468245206,20140919,201409,2014,2014.7096,uigEDU,UIGHUR,,,uig,,,EDU,,,COP,PRISON,,,,,,COP,,,0,173,173,17,4,-5.0,6,2,6,-8.6590131900342,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150919,http://www.nwasianweekly.com/2015/09/who-are-uighurs-a-look-at-group-from-restive-china-region/
468424209,20140919,201409,2014,2014.7096,THA,THAILAND,THA,,,,,,,,uig,UIGHUR,,,uig,,,,,,0,174,174,17,4,-5.0,10,1,10,-5.2707235265932,4,"Sa Kaeo, Sa Kaeo, Thailand",TH,TH80,13.8141,102.072,-3254408,4,"Sa Kaeo, Sa Kaeo, Thailand",TH,TH80,13.8141,102.072,-3254408,4,"Sa Kaeo, Sa Kaeo, Thailand",TH,TH80,13.8141,102.072,-3254408,20150919,http://www.bangkokpost.com/news/special-reports/699460/tied-up-in-a-trafficking-jam
470430541,20140926,201409,2014,2014.7288,CHN,CHINA,CHN,,,,,,,,uig,UYGHUR,,,uig,,,,,,1,171,171,17,4,-9.2,9,1,9,-3.24675324675324,4,"Yarkand, Xinjiang, China",CH,CH13,38.4167,77.2406,-1924174,4,"Yarkand, Xinjiang, China",CH,CH13,38.4167,77.2406,-1924174,4,"Yarkand, Xinjiang, China",CH,CH13,38.4167,77.2406,-1924174,20150926,http://www.theepochtimes.com/n3/1776147-victims-of-chinas-religious-liberty-crackdown-appeal-to-obama-but-will-he-help/
470430543,20140926,201409,2014,2014.7288,COP,SECURITY FORCE,,,,,,COP,,,uig,UYGHUR,,,uig,,,,,,1,171,171,17,4,-9.2,1,1,1,-3.24675324675324,4,"Yarkand, Xinjiang, China",CH,CH13,38.4167,77.2406,-1924174,4,"Yarkand, Xinjiang, China",CH,CH13,38.4167,77.2406,-1924174,4,"Yarkand, Xinjiang, China",CH,CH13,38.4167,77.2406,-1924174,20150926,http://www.theepochtimes.com/n3/1776147-victims-of-chinas-religious-liberty-crackdown-appeal-to-obama-but-will-he-help/
470111396,20140925,201409,2014,2014.726,CHN,XINJIANG,CHN,,,,,,,,,,,,,,,,,,1,172,172,17,4,-5.0,2,2,2,-4.28137962589478,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,0,,,,,,,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150925,http://news.asiaone.com/news/asia/womens-veils-sign-backwardness-says-official-chinas-xinjiang-0
470931579,20140928,201409,2014,2014.7342,CHN,XINJIANG,CHN,,,,,,,,uig,UIGHUR,,,uig,,,,,,0,040,040,04,1,1.0,2,1,2,-7.09430756159728,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150928,http://www.skyscrapercity.com/showthread.php?s=223e7da91283822fd1f5f1efff01dd34&p=127426593
470931580,20140928,201409,2014,2014.7342,CHN,XINJIANG,CHN,,,,,,,,uig,UIGHUR,,,uig,,,,,,0,040,040,04,1,1.0,8,1,8,-7.09430756159728,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20150928,http://www.skyscrapercity.com/showthread.php?s=223e7da91283822fd1f5f1efff01dd34&p=127426593
470931581,20140928,201409,2014,2014.7342,CHN,XINJIANG,CHN,,,,,,,,uig,UIGHUR,,,uig,,,,,,0,112,112,11,3,-2.0,2,1,2,-7.09430756159728,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150928,http://www.skyscrapercity.com/showthread.php?s=223e7da91283822fd1f5f1efff01dd34&p=127426593
470931582,20140928,201409,2014,2014.7342,CHN,XINJIANG,CHN,,,,,,,,uig,UIGHUR,,,uig,,,,,,0,112,112,11,3,-2.0,8,1,8,-7.09430756159728,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150928,http://www.skyscrapercity.com/showthread.php?s=223e7da91283822fd1f5f1efff01dd34&p=127426593
470931583,20140928,201409,2014,2014.7342,CHN,XINJIANG,CHN,,,,,,,,uigEDU,UIGHUR,,,uig,,,EDU,,,0,173,173,17,4,-5.0,10,1,10,-7.09430756159728,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150928,http://www.skyscrapercity.com/showthread.php?s=223e7da91283822fd1f5f1efff01dd34&p=127426593
