GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
450059716,20150717,201507,2015,2015.5397,UIG,UYGUR,,,,,,,,,TUR,TURK,TUR,,,,,,,,1,043,043,04,1,2.8,10,1,10,-12.962962962963,3,"Houston, Texas, United States",US,USTX,29.7633,-95.3633,1380948,3,"Houston, Texas, United States",US,USTX,29.7633,-95.3633,1380948,3,"Houston, Texas, United States",US,USTX,29.7633,-95.3633,1380948,20150717,https://www.tytnetwork.com/2015/07/17/cops-black-woman-jailed-for-turn-signal-hung-self-in-cell/
450138502,20150718,201507,2015,2015.5425,CHN,XINJIANG,CHN,,,,,,,,CVL,CIVILIAN,,,,,,CVL,,,1,072,072,07,2,8.3,8,1,8,-5.82959641255606,4,"Shanghai, Shanghai, China",CH,CH23,31.2222,121.458,-1924465,4,"Shanghai, Shanghai, China",CH,CH23,31.2222,121.458,-1924465,4,"Shanghai, Shanghai, China",CH,CH23,31.2222,121.458,-1924465,20150718,http://www.jamestown.org/programs/chinabrief/single/?tx_ttnews[tt_news]=44173&cHash=dc00eedd4c61b21c691b9700b1468049
447888167,20150710,201507,2015,2015.5205,THA,THAI,THA,,,,,,,,uig,UIGHUR,,,uig,,,,,,1,161,161,16,4,-4.0,2,2,2,-9.23913043478265,1,United States,US,US,38.0,-97.0,US,1,United States,US,US,38.0,-97.0,US,1,United States,US,US,38.0,-97.0,US,20150710,http://www.bbc.com/news/world-asia-33474720
447909444,20150710,201507,2015,2015.5205,uig,UIGHUR,,,uig,,,,,,CHN,CHINA,CHN,,,,,,,,0,051,051,05,1,3.4,40,3,40,-3.72846965611372,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Anadolu, Turkey (general), Turkey",TU,TU00,39.0,35.0,-735281,20150710,http://www.aa.com.tr/en/news/553757--thailand-to-check-up-on-welfare-of-deported-uighur
450684488,20150720,201507,2015,2015.5479,THA,THAI,THA,,,,,,,,uig,UIGHUR,,,uig,,,,,,0,120,120,12,3,-4.0,47,7,47,-5.32292223958543,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.517,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.517,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.517,-3250083,20150720,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2015-07-20-AS--Thailand-China-Uighurs/id-9a564f4395064b438badb38298badd38
447929627,20150710,201507,2015,2015.5205,THA,THAILAND,THA,,,,,,,,uigREF,UIGHUR,,,uig,,,REF,,,0,174,174,17,4,-5.0,10,1,10,-1.82926829268293,1,Thailand,TH,TH,15.0,100.0,TH,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20150710,http://www.todayszaman.com/columnists/columnist/beril-dedeoglu/the-us-and-the-big-game_393392.html
448813001,20150714,201507,2015,2015.5315,CHN,CHINA,CHN,,,,,,,,MOSUIG,MUSLIM,,,,MOS,,,,,1,173,173,17,4,-5.0,4,1,4,-10.1604278074866,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20150714,http://www.ejinsight.com/20150714-indonesia-jails-uygurs-for-conspiray-with-islamist-militants/
453286697,20150729,201507,2015,2015.5726,TURGOV,TURKEY,TUR,,,,,GOV,,,CHN,XINJIANG,CHN,,,,,,,,0,070,070,07,2,7.0,4,3,4,-3.07977132684317,4,"Istanbul, Istanbul, Turkey",TU,TU34,41.0186,28.9647,-755070,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150729,https://nz.news.yahoo.com/world/a/29111887/turkeys-erdogan-in-china-for-talks-amid-uighur-strains/
453298757,20150729,201507,2015,2015.5726,uig,UIGHUR,,,uig,,,,,,TUR,TURKEY,TUR,,,,,,,,0,051,051,05,1,3.4,1,1,1,2.35294117647059,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,20150729,http://en.trend.az/world/turkey/2420620.html
452652553,20150727,201507,2015,2015.5671,MOS,ISLAMIC,,,,MOS,,,,,uig,UIGHUR,,,uig,,,,,,0,043,043,04,1,2.8,3,1,3,-3.45744680851064,1,Iraq,IZ,IZ,33.0,44.0,IZ,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Ankara, Ankara, Turkey",TU,TU68,39.9272,32.8644,-735338,20150727,http://www.todayszaman.com/diplomacy_erdogan-to-visit-beijing-this-week-amid-reports-of-pressure-on-uighurs_394741.html
448822275,20150714,201507,2015,2015.5315,,,,,,,,,,,uig,UIGHUR,,,uig,,,,,,0,063,063,06,2,7.4,20,1,20,-1.58045977011495,0,,,,,,,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.517,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,13.75,100.517,-3250083,20150714,http://www.bangkokpost.com/opinion/opinion/622024/eia-song-and-dance
448832106,20150714,201507,2015,2015.5315,COP,POLICE,,,,,,COP,,,uig,UYGHUR,,,uig,,,,,,0,173,173,17,4,-5.0,10,1,10,-11.6959064327486,4,"Shenhe, Sichuan, China",CH,CH32,30.4591,107.217,10337873,4,"Shenhe, Sichuan, China",CH,CH32,30.4591,107.217,10337873,4,"Shenhe, Sichuan, China",CH,CH32,30.4591,107.217,10337873,20150714,http://www.ecns.cn/2015/07-14/172945.shtml
459266101,20150721,201507,2015,2015.5507,THA,THAILAND,THA,,,,,,,,uigREF,UIGHUR,,,uig,,,REF,,,0,0841,084,08,2,7.0,124,32,124,-6.53320690510371,4,"Erawan, Loei, Thailand",TH,TH18,17.3018,101.954,10847682,4,"Erawan, Loei, Thailand",TH,TH18,17.3018,101.954,10847682,4,"Erawan, Loei, Thailand",TH,TH18,17.3018,101.954,10847682,20150820,http://www.mmail.com.my/world/article/thai-police-issue-arrest-warrant-for-foreign-man-seen-in-bangkok-blast-foot
459266103,20150721,201507,2015,2015.5507,THA,THAILAND,THA,,,,,,,,uigREF,UIGHUR,,,uig,,,REF,,,1,0841,084,08,2,7.0,23,11,23,-6.67340094042412,1,China,CH,CH,35.0,105.0,CH,4,"Erawan, Loei, Thailand",TH,TH18,17.3018,101.954,10847682,4,"Erawan, Loei, Thailand",TH,TH18,17.3018,101.954,10847682,20150820,http://www.mmail.com.my/world/article/thai-police-issue-arrest-warrant-for-foreign-man-seen-in-bangkok-blast-foot
453304722,20150729,201507,2015,2015.5726,CHN,BEIJING,CHN,,,,,,,,uig,UIGHUR,,,uig,,,,,,0,1722,172,17,4,-5.0,1,1,1,-0.825082508250819,4,"Ankara, Ankara, Turkey",TU,TU68,39.9272,32.8644,-735338,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20150729,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2015-07-29-AS--China-Turkey/id-e0cf7de311ee4c7096bdfc8525b9af22
453313916,20150729,201507,2015,2015.5726,uig,UIGHUR,,,uig,,,,,,TUR,TURKEY,TUR,,,,,,,,0,051,051,05,1,3.4,1,1,1,1.88679245283019,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Ankara, Ankara, Turkey",TU,TU68,39.9272,32.8644,-735338,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20150729,http://www.newsfultoncounty.com/politics/news/296168-erdogan-begins-china-trip-with-wreath-laying-ceremony
448842749,20150714,201507,2015,2015.5315,CHN,XINJIANG,CHN,,,,,,,,UAF,MILITANT,,,,,,UAF,,,1,193,193,19,4,-10.0,16,1,16,-12.3404255319149,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.7481,116.274,11065838,4,"Shenyang, Liaoning, China",CH,CH19,41.7922,123.433,-1925258,20150714,http://one.trust.org/item/20150714004741-pwwqd/
450178876,20150718,201507,2015,2015.5425,CHN,CHINA,CHN,,,,,,,,uig,UIGHUR,,,uig,,,,,,1,170,170,17,4,-7.0,10,1,10,-5.26315789473684,1,China,CH,CH,35.0,105.0,CH,1,China,CH,CH,35.0,105.0,CH,1,China,CH,CH,35.0,105.0,CH,20150718,https://www.dailystar.com.lb/News/World/2015/Jul-17/307091-china-says-kills-4-militants-in-crackdown-on-uighurs-leaving-country.ashx
450201082,20150718,201507,2015,2015.5425,uig,UYGHUR,,,uig,,,,,,CHN,CHINA,CHN,,,,,,,,0,020,020,02,1,3.0,10,1,5,-2.82377919320594,4,"Xingjiang, Jiangxi, China",CH,CH03,26.491,115.772,10803319,4,"Xingjiang, Jiangxi, China",CH,CH03,26.491,115.772,10803319,4,"Xingjiang, Jiangxi, China",CH,CH03,26.491,115.772,10803319,20150718,http://www.americanthinker.com/articles/2015/07/chinas_uyghur_problem.html
