GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
515522295,20160226,201602,2016,2016.1534423828125,CHN,XINJIANG,CHN,,,,,,,,,,,,,,,,,,1,020,020,02,1,3.0,10,1,10,0.283687949180603,4,"Xinjiang, Jiangxi, China",CH,CH03,27.74810028076172,116.27400207519531,11065838,0,,,,,,,4,"Xinjiang, Jiangxi, China",CH,CH03,27.74810028076172,116.27400207519531,11065838,20160226,http://thehansindia.info/tag/dior-cosmetics-reviews-latest-technology-nh6k0pvcnc/
515522296,20160226,201602,2016,2016.1534423828125,CHN,XINJIANG,CHN,,,,,,,,,,,,,,,,,,1,020,020,02,1,3.0,4,1,4,0.283687949180603,1,Saudi Arabia,SA,SA,25.0,45.0,SA,0,,,,,,,4,"Khormaksar, ‘Adan, Yemen",YM,YM02,12.812299728393555,45.03340148925781,-3188767,20160226,http://thehansindia.info/tag/dior-cosmetics-reviews-latest-technology-nh6k0pvcnc/
515522301,20160226,201602,2016,2016.1534423828125,CHN,XINJIANG,CHN,,,,,,,,,,,,,,,,,,1,051,051,05,1,3.4000000953674316,8,1,8,0.283687949180603,4,"Khormaksar, ‘Adan, Yemen",YM,YM02,12.812299728393555,45.03340148925781,-3188767,0,,,,,,,4,"Khormaksar, ‘Adan, Yemen",YM,YM02,12.812299728393555,45.03340148925781,-3188767,20160226,http://thehansindia.info/tag/dior-cosmetics-reviews-latest-technology-nh6k0pvcnc/
515522302,20160226,201602,2016,2016.1534423828125,CHN,XINJIANG,CHN,,,,,,,,,,,,,,,,,,1,051,051,05,1,3.4000000953674316,6,1,6,0.283687949180603,1,Saudi Arabia,SA,SA,25.0,45.0,SA,0,,,,,,,4,"Khormaksar, ‘Adan, Yemen",YM,YM02,12.812299728393555,45.03340148925781,-3188767,20160226,http://thehansindia.info/tag/dior-cosmetics-reviews-latest-technology-nh6k0pvcnc/
515522303,20160226,201602,2016,2016.1534423828125,CHN,XINJIANG,CHN,,,,,,,,,,,,,,,,,,1,051,051,05,1,3.4000000953674316,2,1,2,0.283687949180603,1,Saudi Arabia,SA,SA,25.0,45.0,SA,0,,,,,,,1,Saudi Arabia,SA,SA,25.0,45.0,SA,20160226,http://thehansindia.info/tag/dior-cosmetics-reviews-latest-technology-nh6k0pvcnc/
515535220,20160226,201602,2016,2016.1534423828125,CHN,XINJIANG,CHN,,,,,,,,CVL,VILLAGE,,,,,,CVL,,,0,040,040,04,1,1.0,42,2,42,1.1599853038787842,4,"Xinjiang, Jiangxi, China",CH,CH03,27.74810028076172,116.27400207519531,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.74810028076172,116.27400207519531,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.74810028076172,116.27400207519531,11065838,20160226,http://en.ce.cn/main/latest/201602/26/t20160226_9108979.shtml
515535585,20160226,201602,2016,2016.1534423828125,CVL,VILLAGE,,,,,,CVL,,,CHN,XINJIANG,CHN,,,,,,,,0,040,040,04,1,1.0,42,2,42,1.1599853038787842,4,"Xinjiang, Jiangxi, China",CH,CH03,27.74810028076172,116.27400207519531,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.74810028076172,116.27400207519531,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,27.74810028076172,116.27400207519531,11065838,20160226,http://en.ce.cn/main/latest/201602/26/t20160226_9108979.shtml
515569062,20160226,201602,2016,2016.1534423828125,TUR,TURK,TUR,,,,,,,,UIG,UYGUR,,,,,,,,,0,042,042,04,1,1.899999976158142,18,1,9,-2.040400743484497,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,20160226,http://article.wn.com/view/2016/02/25/Ted_Cruz_please_contrive_a_better_media_conspiracy_theory/
515569091,20160226,201602,2016,2016.1534423828125,UIG,UYGUR,,,,,,,,,TUR,TURK,TUR,,,,,,,,0,043,043,04,1,2.799999952316284,3,1,3,-2.0609703063964844,2,"South Carolina, United States",US,USSC,33.81909942626953,-80.90660095214844,SC,2,"South Carolina, United States",US,USSC,33.81909942626953,-80.90660095214844,SC,2,"South Carolina, United States",US,USSC,33.81909942626953,-80.90660095214844,SC,20160226,http://article.wn.com/view/2016/02/25/Ted_Cruz_please_contrive_a_better_media_conspiracy_theory/
515569092,20160226,201602,2016,2016.1534423828125,UIG,UYGUR,,,,,,,,,TUR,TURK,TUR,,,,,,,,0,043,043,04,1,2.799999952316284,11,1,9,-2.040400743484497,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,1,Turkey,TU,TU,39.0,35.0,TU,20160226,http://article.wn.com/view/2016/02/25/Ted_Cruz_please_contrive_a_better_media_conspiracy_theory/
